identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
13673,06/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Fechado,19/06/2024
13674,06/06/2024,SUAP,Módulo - Pesquisa,Erros no SUAP - módulo Pesquisa,REITORIA,Em atendimento,
13675,06/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação de computador e monitor,REITORIA,Em atendimento,
13676,06/06/2024,Tecnologia da Informação,RE-DTI-Impressão e scanner,"RE-DTI-Defeito, Ajustes ou correções na Impressora",REITORIA,Fechado,16/07/2024
13677,06/06/2024,Programa de Gestão,Programa de Gestão,Dúvidas de uso do sistema - PG,CAMPUS RIBEIRAO DAS NEVES,Fechado,19/06/2024
13678,06/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Resolvido,07/06/2024
13679,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Em atendimento,
13680,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Em atendimento,
13681,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Em atendimento,
13682,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13683,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13684,07/06/2024,Administrativo,Ar condicionado,Problema com temperatura,CAMPUS AVANCADO PIUMHI,Aberto,
13685,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13686,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13687,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,07/06/2024
13688,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,07/06/2024
13689,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13690,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13691,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,07/06/2024
13692,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,07/06/2024
13693,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,07/06/2024
13694,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Em atendimento,
13695,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13696,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Aberto,
13697,07/06/2024,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,CAMPUS AVANCADO PIUMHI,Em atendimento,
13698,07/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação de computador e monitor,REITORIA,Em atendimento,
13699,07/06/2024,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Acesso ao portal ifmg.edu.br,REITORIA,Fechado,10/06/2024
13700,07/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Fechado,18/06/2024
13701,07/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,"RE-DTI-Suporte ao serviços do GOOGLE (Drive,Meet,etc)",REITORIA,Resolvido,09/07/2024
13702,07/06/2024,Tecnologia da Informação,SAB-EMAIL,SAB - Reset de Senha,CAMPUS SABARA,Fechado,17/06/2024
13703,07/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,10/06/2024
13704,07/06/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Portais Web/ Hospedagem de serviços,REITORIA,Fechado,18/06/2024
13705,10/06/2024,Administrativo,Orçamento,Troca de orçamento entre Campus,REITORIA,Cancelado,
13706,10/06/2024,SUAP,Módulo - Patrimônio,Requisição transferência carga patrimonial (Temporária / Definitiva),REITORIA,Fechado,11/06/2024
13707,10/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,10/06/2024
13708,10/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,15/07/2024
13709,10/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,19/08/2024
13710,10/06/2024,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI-Criação de páginas no portal ifmg.edu.br,REITORIA,Fechado,11/06/2024
13711,10/06/2024,Editora IFMG,Diagramador e Revisor de Obras,Dúvidas sobre cadastro.,REITORIA,Aberto,
13712,10/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,20/06/2024
13713,10/06/2024,Tecnologia da Informação,RE-DTI-Circuito Fechado de TV e Controle de acesso,RE-DTI-Alteração da localização das câmeras,REITORIA,Fechado,17/06/2024
13714,10/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,09/07/2024
13715,10/06/2024,EaD,EaD Reitoria,Atualização,REITORIA,Resolvido,13/06/2024
13716,11/06/2024,Tecnologia da Informação,RE-DTI-Impressão e scanner,"RE-DTI-Defeito, Ajustes ou correções na Impressora",REITORIA,Fechado,05/07/2024
13717,11/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,11/06/2024
13718,11/06/2024,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS OURO PRETO,Fechado,01/07/2024
13719,11/06/2024,SUAP,Módulo - Educacional,Erros,REITORIA,Fechado,11/06/2024
13720,11/06/2024,SUAP,Módulo - Pós-Graduação,Módulo Pós-graduação - Cadastros Gerais,REITORIA,Fechado,24/06/2024
13721,11/06/2024,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI-Criação de páginas no portal ifmg.edu.br,REITORIA,Resolvido,09/07/2024
13722,11/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Resolvido,11/06/2024
13723,11/06/2024,Tecnologia da Informação,RE-DTI-Impressão e scanner,"RE-DTI-Defeito, Ajustes ou correções na Impressora",REITORIA,Resolvido,05/07/2024
13724,11/06/2024,Tecnologia da Informação,SL-Desktops e notebooks,SL-Outros,CAMPUS SANTA LUZIA,Aberto,
13725,11/06/2024,Tecnologia da Informação,RE-DTI-Impressão e scanner,"RE-DTI-Defeito, Ajustes ou correções na Impressora",REITORIA,Fechado,12/06/2024
13726,11/06/2024,SUAP,Módulo - Pós-Graduação,Módulo Pós-Graduação - Migração de dados para o SUAP,REITORIA,Resolvido,23/07/2024
13727,11/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Pastas na rede - Criação e recuperação,REITORIA,Fechado,09/07/2024
13728,11/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Resolvido,14/06/2024
13729,12/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Pastas na rede - Acesso e alteração,REITORIA,Fechado,12/06/2024
13730,12/06/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Portais Web/ Hospedagem de serviços,REITORIA,Aberto,
13731,12/06/2024,SUAP,Módulo - Pós-Graduação,Módulo Pós-graduação - Cadastros Gerais,REITORIA,Fechado,24/06/2024
13732,12/06/2024,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Acesso ao portal ifmg.edu.br,REITORIA,Fechado,19/06/2024
13733,12/06/2024,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS OURO PRETO,Fechado,25/06/2024
13734,12/06/2024,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,CAMPUS OURO PRETO,Fechado,01/07/2024
13735,12/06/2024,Tecnologia da Informação,SL-E-mail ou Login de Rede,SL-Criação de e-mail departamental,CAMPUS SANTA LUZIA,Fechado,26/06/2024
13736,12/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,20/06/2024
13737,12/06/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-DNS,REITORIA,Fechado,13/06/2024
13738,12/06/2024,Gestão de Pessoas,Registro de Atividade Docente,Alteração de cadastros - módulo RJT,REITORIA,Aberto,
13739,13/06/2024,Administrativo,Patrimônio SUAP,Patrimônio SUAP - Dúvida entrada de bens,REITORIA,Fechado,13/06/2024
13740,13/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Cancelado,
13741,13/06/2024,Administrativo,Patrimônio SUAP,Patrimônio SUAP - Dúvida transferência de bens,REITORIA,Fechado,28/06/2024
13742,13/06/2024,SUAP,Módulo - Educacional,Reportar erros no SUAP,CAMPUS AVANCADO ARCOS,Cancelado,
13743,13/06/2024,SUAP,Módulo - Educacional,Erros,REITORIA,Fechado,25/07/2024
13744,13/06/2024,Administrativo,Elétrica,10 Troca de lâmpada,CAMPUS SANTA LUZIA,Fechado,14/08/2024
13745,13/06/2024,SUAP,Módulo - Patrimônio,Permissões de acesso - módulo Patrimônio,REITORIA,Fechado,13/06/2024
13746,13/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Fechado,05/07/2024
13747,14/06/2024,SUAP,Módulo - Educacional,Sugestões de Melhoria: SUAP Educacional,REITORIA,Fechado,21/06/2024
13748,14/06/2024,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Cancelado,
13749,14/06/2024,Administrativo,Contratos,10 Processo SEI: Alteração Contratual,REITORIA,Resolvido,02/07/2024
13750,14/06/2024,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,REITORIA,Em atendimento,
13751,14/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,18/06/2024
13752,14/06/2024,Administrativo,Elétrica,03 Incidente elétrico,CAMPUS OURO PRETO,Fechado,04/07/2024
13753,14/06/2024,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Resolvido,17/06/2024
13754,14/06/2024,Tecnologia da Informação,SL-Desktops e notebooks,SL-Outros,CAMPUS SANTA LUZIA,Aberto,
13755,14/06/2024,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS OURO PRETO,Fechado,01/07/2024
13756,14/06/2024,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Resolvido,17/06/2024
13757,14/06/2024,Administrativo,Contratos,Dúvida: Comprasnet Contratos,REITORIA,Fechado,17/06/2024
13758,14/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Em atendimento,
13759,17/06/2024,Tecnologia da Informação,GV-ABERTURA DE CHAMADOS,GV-Chamados,CAMPUS GOVERNADOR VALADARES,Fechado,01/07/2024
13760,17/06/2024,SUAP,Geral,Cadastro de Prestadores de Serviço (terceiros),REITORIA,Fechado,18/06/2024
13761,17/06/2024,SUAP,Módulo - Pesquisa,Permissões de acesso - módulo Pesquisa,REITORIA,Fechado,17/06/2024
13762,17/06/2024,Programa de Gestão,Programa de Gestão,Cadastro de Servidor/Estagiário - PG,REITORIA,Fechado,18/06/2024
13763,17/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Resolvido,27/06/2024
13764,17/06/2024,SUAP,Módulo - Educacional,Dúvidas,REITORIA,Resolvido,16/07/2024
13765,17/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Fechado,17/06/2024
13766,18/06/2024,Tecnologia da Informação,SL-Acesso à Rede/Internet,SL-Sem acesso à Internet,CAMPUS SANTA LUZIA,Fechado,25/06/2024
13767,18/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,18/06/2024
13768,18/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS OURO PRETO,Em atendimento,
13769,18/06/2024,Tecnologia da Informação,SL-Acesso à Rede/Internet,SL-Sem acesso à Internet,CAMPUS SANTA LUZIA,Cancelado,
13770,18/06/2024,Administrativo,Contratos,Dúvida: Legislação - Contratos,REITORIA,Fechado,19/06/2024
13771,18/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Fechado,11/07/2024
13772,18/06/2024,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,19/06/2024
13773,18/06/2024,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS OURO PRETO,Fechado,01/07/2024
13774,19/06/2024,SUAP,Módulo - Pós-Graduação,Módulo Pós-graduação - Cadastros Gerais,REITORIA,Fechado,12/07/2024
13775,19/06/2024,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS OURO PRETO,Em atendimento,
13776,19/06/2024,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS OURO PRETO,Fechado,17/07/2024
13777,19/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Resolvido,24/06/2024
13778,19/06/2024,SUAP,Módulo - Educacional,Erros,REITORIA,Aberto,
13779,19/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Resolvido,05/07/2024
13780,19/06/2024,SUAP,Módulo – Estágios,Erros no SUAP – módulo Estágios,REITORIA,Fechado,21/06/2024
13781,19/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,20/06/2024
13782,19/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Resolvido,20/06/2024
13783,19/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Cancelado,
13784,19/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Resolvido,20/06/2024
13785,19/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Em atendimento,
13786,19/06/2024,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,21/06/2024
13787,19/06/2024,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Resolvido,28/06/2024
13788,19/06/2024,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,28/06/2024
13789,20/06/2024,Administrativo,Desentupimento,02 Vaso sanitário,CAMPUS OURO PRETO,Fechado,17/07/2024
13790,20/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação de computador e monitor,REITORIA,Fechado,20/06/2024
13791,20/06/2024,Tecnologia da Informação,RE-DTI-Telefonia,RE-DTI-Alteração ou ativação de ponto de ramal,REITORIA,Fechado,09/08/2024
13792,20/06/2024,SUAP,Módulo - Educacional,Erros,REITORIA,Aberto,
13793,20/06/2024,Administrativo,Dúvidas SISPLAN,Cadastro de Usuário,REITORIA,Aberto,
13794,20/06/2024,Administrativo,Patrimônio SUAP,Patrimônio SUAP - Dúvida entrada de bens,REITORIA,Fechado,20/06/2024
13795,20/06/2024,Administrativo,Patrimônio SUAP,Patrimônio SUAP - Dúvida entrada de bens,REITORIA,Fechado,24/06/2024
13796,20/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Em atendimento,
13797,20/06/2024,Administrativo,Recomposição,99 Outras recomposições,REITORIA,Fechado,01/07/2024
13798,20/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,09/07/2024
13799,20/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,09/07/2024
13800,20/06/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Portais Web/ Hospedagem de serviços,REITORIA,Reaberto,05/07/2024
13801,21/06/2024,Administrativo,Desentupimento,01 Pia ou tanque,CAMPUS OURO PRETO,Fechado,05/07/2024
13802,21/06/2024,SUAP,Módulo - Educacional,Permissões de acesso,REITORIA,Fechado,24/06/2024
13803,21/06/2024,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,11/07/2024
13804,21/06/2024,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS OURO PRETO,Fechado,01/07/2024
13805,21/06/2024,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS OURO PRETO,Em atendimento,
13806,21/06/2024,Administrativo,Orçamento,Alteração de PTRES na mesma Ação,REITORIA,Fechado,30/07/2024
13807,21/06/2024,Administrativo,Portas e janelas,02 Janela,REITORIA,Fechado,24/06/2024
13808,21/06/2024,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS OURO PRETO,Aberto,
13809,24/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Fechado,05/07/2024
13810,24/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Suporte a Certificado Digital e TOKENS,REITORIA,Fechado,25/06/2024
13811,24/06/2024,Pós-Graduação,Normas - Mestrado,Dúvidas e esclarecimentos - Mestrado,REITORIA,Fechado,24/06/2024
13812,24/06/2024,Pós-Graduação,Gestão Acadêmica - Mestrado,Diplomas,REITORIA,Fechado,25/06/2024
13813,24/06/2024,Tecnologia da Informação,SL-Desktops e notebooks,"SL-Instalação e configuração software Livre/freewere (Chrome, firefox, Java, leitor e conversor de PDF, etc)",CAMPUS SANTA LUZIA,Aberto,
13814,24/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,"RE-DTI-Instalação/configuração de Hardware (memória,SSD,Placas, etc)",REITORIA,Em atendimento,
13815,24/06/2024,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS IBIRITÉ,Fechado,12/07/2024
13816,24/06/2024,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS IBIRITÉ,Fechado,12/07/2024
13817,25/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,27/06/2024
13818,25/06/2024,Tecnologia da Informação,RE-DTI-Impressão e scanner,RE-DTI-Cadastramento e configuração para uso da impressora (cartão),REITORIA,Em atendimento,
13819,25/06/2024,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Resolvido,04/07/2024
13820,25/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,09/07/2024
13821,25/06/2024,SUAP,Módulo - Educacional,Dúvidas,REITORIA,Fechado,09/07/2024
13822,25/06/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-DNS,REITORIA,Fechado,09/07/2024
13823,25/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Aberto,
13824,26/06/2024,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS OURO PRETO,Fechado,01/07/2024
13825,26/06/2024,Administrativo,Cobertura,X Outros problemas no telhado,CAMPUS OURO PRETO,Aberto,
13826,26/06/2024,Administrativo,Desentupimento,99 Outros serviços de desentupimento,CAMPUS OURO PRETO,Fechado,04/07/2024
13827,26/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Fechado,26/06/2024
13828,26/06/2024,Administrativo,Portas e janelas,01 Porta,CAMPUS OURO PRETO,Fechado,05/07/2024
13829,26/06/2024,Administrativo,Almoxarifado SUAP,Almoxarifado SUAP - Dúvida entrada de materiais,REITORIA,Aberto,
13830,26/06/2024,Administrativo,Contratos,04 Processo SEI: PRORROGAÇÃO Contratual,REITORIA,Fechado,27/06/2024
13831,26/06/2024,SUAP,Módulo - Educacional,Erros,REITORIA,Fechado,26/06/2024
13832,26/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,26/06/2024
13833,26/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Fechado,27/06/2024
13834,26/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação de computador e monitor,REITORIA,Fechado,12/07/2024
13835,26/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Fechado,12/07/2024
13836,26/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,15/07/2024
13837,26/06/2024,Administrativo,Patrimônio SUAP,Patrimônio SUAP - Dúvida transferência de bens,REITORIA,Fechado,27/06/2024
13838,26/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Resolvido,04/07/2024
13839,26/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Fechado,27/06/2024
13840,26/06/2024,Administrativo,Orçamento,Remanejamento de Descentralização,REITORIA,Fechado,01/07/2024
13841,27/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Acesso à Internet,REITORIA,Cancelado,
13842,27/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Resolvido,14/08/2024
13843,27/06/2024,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Fechado,16/07/2024
13844,27/06/2024,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Resolvido,27/06/2024
13845,27/06/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,"RT-Webconferencia, Certificados SSL outros recursos RNP",REITORIA,Fechado,27/06/2024
13846,27/06/2024,Administrativo,Recomposição,02 Recomposição de pintura,REITORIA,Fechado,01/07/2024
13847,27/06/2024,SUAP,Módulo - Patrimônio,Erros no SUAP - módulo Patrimônio,REITORIA,Fechado,28/06/2024
13848,27/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação de computador e monitor,REITORIA,Fechado,09/07/2024
13849,27/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Pastas na rede - Acesso e alteração,REITORIA,Resolvido,03/07/2024
13850,27/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Fechado,09/07/2024
13851,27/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,"RE-DTI-Instalação/configuração de Hardware (memória,SSD,Placas, etc)",REITORIA,Aberto,
13852,27/06/2024,Administrativo,Contratos,15 Processo SEI: Ata de Registro de Preços,REITORIA,Resolvido,01/07/2024
13853,27/06/2024,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Manutenção do portal ifmg.edu.br,REITORIA,Cancelado,
13854,27/06/2024,Administrativo,Contratos,04 Processo SEI: PRORROGAÇÃO Contratual,REITORIA,Resolvido,08/07/2024
13855,27/06/2024,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,09/07/2024
13856,27/06/2024,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,09/07/2024
13857,27/06/2024,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS SANTA LUZIA,Fechado,14/08/2024
13858,28/06/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI Ponto Suap - Cadastros,REITORIA,Fechado,03/07/2024
13859,28/06/2024,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Acesso ao portal ifmg.edu.br,REITORIA,Resolvido,11/07/2024
13860,28/06/2024,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,REITORIA,Fechado,01/07/2024
13861,28/06/2024,Tecnologia da Informação,SL-Aluno,SL-Suporte de Rede WiFi ao Aluno,CAMPUS SANTA LUZIA,Cancelado,
13862,28/06/2024,SUAP,Módulo - Educacional,Erros,REITORIA,Fechado,04/07/2024
13863,28/06/2024,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS OURO PRETO,Em atendimento,
13864,28/06/2024,Administrativo,Recomposição,99 Outras recomposições,REITORIA,Fechado,01/07/2024
13865,28/06/2024,SUAP,Módulo - Patrimônio,Extração de dados - módulo Patrimônio,REITORIA,Em atendimento,
13866,28/06/2024,Tecnologia da Informação,RN-Email,RN - Grupo de Email,CAMPUS RIBEIRAO DAS NEVES,Cancelado,
13867,28/06/2024,SUAP,Módulo - Educacional,Permissões de acesso,REITORIA,Fechado,01/07/2024
13868,28/06/2024,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Reset de senha de e-mail,CAMPUS OURO BRANCO,Cancelado,
13869,29/06/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,04/07/2024
13870,01/07/2024,Administrativo,Portas e janelas,01 Porta,REITORIA,Em atendimento,
13871,01/07/2024,Tecnologia da Informação,GV-DATASHOW,GV-Manutenção de Datashow,CAMPUS GOVERNADOR VALADARES,Resolvido,01/07/2024
13872,01/07/2024,Tecnologia da Informação,SAB-EAD,SAB - Cadastro de Usuários,CAMPUS SABARA,Fechado,02/07/2024
13873,01/07/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Fechado,01/07/2024
13874,01/07/2024,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Fechado,01/07/2024
13875,01/07/2024,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Sistemas Redmine/Limesurvey/SIGAM e outros,REITORIA,Fechado,18/07/2024
13876,01/07/2024,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Computador não liga,CAMPUS OURO BRANCO,Fechado,01/07/2024
