identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
5065,19/07/2022,Administrativo,Contabilidade,Legislação - Contábil,REITORIA,Fechado,20/07/2022
5066,20/07/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,20/07/2022
5067,20/07/2022,Tecnologia da Informação,SL-E-mail ou Login de Rede,SL-Criação/alteração de senha de usuário de Rede,CAMPUS SANTA LUZIA,Fechado,20/07/2022
5068,20/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,20/07/2022
5069,20/07/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Pergamum,CAMPUS OURO BRANCO,Fechado,20/07/2022
5070,20/07/2022,Tecnologia da Informação,GV-ABERTURA DE CHAMADOS,GV-Chamados,CAMPUS GOVERNADOR VALADARES,Fechado,21/07/2022
5071,20/07/2022,Administrativo,Elétrica,06 Mudança de rede ou telefonia,CAMPUS AVANCADO PIUMHI,Fechado,18/08/2022
5072,20/07/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sem conexão com a Internet,CAMPUS OURO BRANCO,Fechado,29/07/2022
5073,20/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Fechado,20/07/2022
5074,20/07/2022,Administrativo,Portas e janelas,01 Porta,CAMPUS IBIRITÉ,Fechado,28/07/2022
5075,20/07/2022,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS IBIRITÉ,Cancelado,
5076,20/07/2022,Administrativo,Hidráulica e Hidrossanitários,01 Reparo de lavatório,CAMPUS IBIRITÉ,Fechado,22/09/2022
5077,20/07/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS IBIRITÉ,Fechado,22/07/2022
5078,20/07/2022,Administrativo,Almoxarifado Virtual,solicitação de cadastro itens sistema,REITORIA,Fechado,20/07/2022
5079,20/07/2022,Administrativo,Elétrica,10 Troca de lâmpada,CAMPUS SANTA LUZIA,Fechado,16/11/2022
5080,20/07/2022,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Fechado,29/07/2022
5081,21/07/2022,Administrativo,Portas e janelas,99 Outras esquadrias,CAMPUS IBIRITÉ,Fechado,04/08/2022
5082,21/07/2022,Administrativo,Recomposição,03 Recomposição piso tátil de borracha,CAMPUS IBIRITÉ,Cancelado,
5083,21/07/2022,Tecnologia da Informação,IBI - Equipamentos,IBI - Instação de Softwares,CAMPUS IBIRITÉ,Fechado,04/08/2022
5084,21/07/2022,Administrativo,Elétrica,06 Mudança de rede ou telefonia,CAMPUS AVANCADO PIUMHI,Fechado,02/09/2022
5085,21/07/2022,Tecnologia da Informação,OBR-TELEFONIA,OBR-Ramal inoperante,CAMPUS OURO BRANCO,Fechado,28/07/2022
5086,21/07/2022,Administrativo,Contratos,04 Processo SEI: PRORROGAÇÃO Contratual,REITORIA,Fechado,09/11/2022
5087,21/07/2022,Tecnologia da Informação,RE-DTI-Impressão e scanner,RE-DTI-Relatório de Impressão,REITORIA,Fechado,28/07/2022
5088,21/07/2022,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Fechado,21/07/2022
5089,21/07/2022,Administrativo,Portas e janelas,04 Fechadura,CAMPUS OURO BRANCO,Fechado,29/07/2022
5090,21/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,22/07/2022
5091,21/07/2022,SEI,Inserir novos servidores,Inserir servidores no sistema,REITORIA,Cancelado,
5092,21/07/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Suporte a Certificado Digital e TOKENS,REITORIA,Fechado,28/07/2022
5093,21/07/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Alteração/Movimentação de estação de trabalho,CAMPUS OURO BRANCO,Fechado,22/07/2022
5094,22/07/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS IBIRITÉ,Fechado,25/07/2022
5095,22/07/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Reset de senha do usuário de rede,CAMPUS OURO BRANCO,Fechado,22/07/2022
5096,22/07/2022,Tecnologia da Informação,GV-COMPUTADORES,GV-Manutenção de softwares,CAMPUS GOVERNADOR VALADARES,Fechado,22/07/2022
5097,22/07/2022,SUAP,Módulo - Almoxarifado,Permissões de acesso - módulo Almoxarifado,REITORIA,Fechado,22/07/2022
5098,22/07/2022,Administrativo,Contratos,05 Processo SEI: ACRÉSCIMO Contratual,REITORIA,Fechado,25/07/2022
5099,22/07/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,22/07/2022
5100,22/07/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,26/07/2022
5101,22/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,22/07/2022
5102,22/07/2022,Tecnologia da Informação,OBR-CIRCUITO FECHADO DE TV,OBR-Câmera desconectada,CAMPUS OURO BRANCO,Fechado,22/07/2022
5103,25/07/2022,Tecnologia da Informação,GV-ABERTURA DE CHAMADOS,GV-Chamados,CAMPUS GOVERNADOR VALADARES,Fechado,26/07/2022
5104,25/07/2022,Administrativo,Desentupimento,99 Outros serviços de desentupimento,CAMPUS IBIRITÉ,Fechado,26/07/2022
5105,25/07/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS IBIRITÉ,Fechado,04/07/2024
5106,25/07/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,25/07/2022
5107,25/07/2022,SUAP,Módulo - Administração de Pessoal,Alteração de cadastros - módulo Administração de Pessoal,REITORIA,Fechado,26/07/2022
5108,25/07/2022,SUAP,Módulo - Patrimônio,Alteração de cadastros - módulo Patrimônio,REITORIA,Fechado,25/07/2022
5109,25/07/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,25/07/2022
5110,25/07/2022,Administrativo,Hidráulica e Hidrossanitários,04 Reparo em torneira,CAMPUS SANTA LUZIA,Fechado,05/08/2022
5111,25/07/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,18/11/2022
5112,25/07/2022,Tecnologia da Informação,GV-ABERTURA DE CHAMADOS,GV-Chamados,CAMPUS GOVERNADOR VALADARES,Fechado,26/07/2022
5113,26/07/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,27/07/2022
5114,26/07/2022,Administrativo,Cobertura,Limpeza de laje,CAMPUS IBIRITÉ,Fechado,29/07/2022
5115,26/07/2022,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Fechado,27/07/2022
5116,26/07/2022,Administrativo,Recomposição,99 Outras recomposições,REITORIA,Fechado,09/01/2023
5117,26/07/2022,Tecnologia da Informação,IBI - Equipamentos,IBI - Periféricos com Defeito,CAMPUS IBIRITÉ,Fechado,03/08/2022
